CUST_ID,GENDER,BALANCE,PURCHASES,BALANCE_FREQUENCY,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_FREQUENCY,PURCHASES_TRX,ONEOFF_PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE
C12361,M,153.003135,96.2,1.0,0.0,0.0,0.833333,10,,0.0,9000.0,326.168469,202.58767,12
C13139,F,1484.996584,170.0,1000.0,0.0,0.0,0.416667,5,,0.0,1500.0,406.189673,479.239093,12
C13252,,793.005227,4.99,1.0,0.0,0.0,0.083333,1,0.083333,0.0,2500.0,1127.028432,223.627537,12
C13491,,39.670161,319.92,1.0,0.0,0.0,1.0,12,,0.0,10000.0,365.863745,176.935616,12
C17499,,677.778395,0.0,0.75,1361.306734,2.0,0.0,0,,0.125,1500.0,1515.946459,143.812331,
C12960,,512.058666,921.2,0.818182,0.0,0.0,0.416667,7,,0.0,5500.0,1851.553319,786.58816,-12
C16874,,1243.250958,1680.0,1.0,0.0,0.0,1.0,12,,0.0,4500.0,1105.142936,361.880781,12
C13160,,1499.324936,0.0,1.0,18.123413,1.0,0.0,0,,0.083333,1500.0,309.565852,526.749661,12
C12431,M,516.49276,380.0,1.0,1004.279993,11.0,0.333333,6,,0.5,1200.0,415.924157,247.45192,12
C18938,F,10.318754,102.66,0.625,0.0,0.0,0.375,3,0.0,0.0,1500.0,190.431856,55.178854,8
C18138,F,216.64893,4606.71,1.0,0.0,,1.0,22,,0.0,2000.0,2251.966666,131.425363,10
C17302,F,1186.616403,0.0,1.0,1496.629534,4.0,0.0,0,,0.25,1500.0,1779.274853,300.990997,12
C11282,M,1548.224072,696.63,1.0,0.0,0.0,0.083333,2,0.083333,0.0,1800.0,588.329981,918.350562,12
C14673,M,2439.976275,499.59,1.0,0.0,0.0,0.916667,11,0.0,0.0,2700.0,555.286351,617.276328,12
C14610,,2951.220065,0.0,1000.0,1477.737906,16.0,0.0,0,0.0,0.666667,8500.0,710.854365,685.291892,12
C18442,,1058.726643,191.0,0.571429,1639.830365,2.0,0.142857,2,0.142857,0.142857,2000.0,171.044001,354.529079,7
C11579,,2807.729258,0.0,1.0,109.708511,2.0,0.0,0,,0.166667,3000.0,616.424424,985.64549,12
C17055,,2230.477487,0.0,0.857143,2480.833949,2.0,0.0,0,0.0,0.142857,2500.0,391.306121,397.057608,7
C10944,,31.702357,1051.52,0.181818,0.0,0.0,1.0,16,0.083333,0.0,4600.0,5384.409792,13.545097,12
C14802,,1300.793883,1282.2,1.0,0.0,0.0,1.0,12,0.0,0.0,1200.0,1407.623536,1230.452069,12
C17345,,21.844186,169.56,1.0,0.0,0.0,0.75,9,0.0,0.0,2500.0,181.438267,99.402121,12
C18740,F,100.212638,639.29,0.8,0.0,0.0,0.8,17,0.1,0.0,1500.0,269.84678,156.747495,10
C10448,,541.915572,1377.72,0.636364,0.0,0.0,0.25,5,,0.0,2500.0,182.177646,200.759856,12
C11006,M,560.414016,99.0,1000.0,909.10915,3.0,0.083333,1,0.083333,,1000.0,407.819493,141.935936,12
C17189,,1893.423054,650.04,1.0,390.362711,1.0,1.0,24,,0.083333,2000.0,775.769041,751.958904,12
C13845,F,1155.123292,62.02,1.0,19.081161,,83.333,1,0.083333,0.083333,1200.0,217.775407,465.251459,12
C12901,,750.070967,311.2,1.0,0.0,0.0,0.166667,4,,0.0,1000.0,544.179931,181.243059,12
C16628,F,2990.370585,1368.0,1.0,1436.238238,14.0,1.0,22,,0.583333,8000.0,1680.74827,791.063136,??
C17798,F,197.159684,0.0,1.0,351.023706,2.0,0.0,0,,0.25,1000.0,373.550284,107.037616,
C13122,F,408.310297,0.0,1.0,777.912775,10.0,0.0,0,,0.333333,1500.0,1488.832955,193.298562,12
C15083,M,25.499945,62.53,0.727273,0.0,0.0,0.083333,1,,0.0,1700.0,1637.518241,110.864194,12
C16093,M,3136.079106,555.0,1.0,1728.321044,4.0,1.0,12,,0.083333,3500.0,1045.129438,780.780114,12
C11334,,1790.707374,1368.0,0.727273,2126.381193,7.0,0.083333,2,,0.25,3500.0,672.614794,979.683199,12
C11621,F,223.818492,1702.42,1.0,0.0,0.0,0.916667,12,,0.0,7300.0,1913.220366,208.079912,12
C14653,F,153.643158,0.0,1.0,254.910338,1.0,0.0,0,0.0,0.083333,300.0,347.227774,148.87441,12
C14879,,0.074724,0.0,0.181818,370.73048,1.0,0.0,0,,0.083333,1000.0,1628.657052,11.51534,12
C12933,M,1338.317684,0.0,0.909091,1961.77281,1.0,0.0,0,,0.083333,2000.0,2313.97005,398.031823,12
C14368,F,1121.44991,219.4,1.0,0.0,0.0,0.666667,9,0.083333,0.0,1200.0,591.736846,747.662321,12
C17402,M,39.105741,220.0,0.545455,0.0,0.0,0.083333,1,0.083333,0.0,3000.0,427.409497,98.429502,12
C18683,M,2139.442272,68.22,1.0,6322.766113,5.0,0.166667,2,0.166667,0.25,5000.0,3022.813097,603.467365,12
C17384,,2530.378121,55.5,1.0,0.0,0.0,0.25,3,,0.0,3500.0,1041.914403,585.213037,12
C13408,,752.26105,4019.86,1.0,5632.549503,10000.0,0.916667,19,0.916667,0.333333,3000.0,7574.577354,237.824379,12
C12532,,7.153512,104.95,0.3,0.0,0.0,0.4,4,0.0,0.0,1500.0,271.567821,71.59927,10
C11568,,5363.715074,118.41,1.0,4344.905863,6.0,0.083333,1,0.083333,0.333333,7000.0,1965.92346,1870.760877,12
C13712,,838.594895,258.49,0.636364,2220.225056,6.0,0.181818,2,0.181818,0.363636,2000.0,2670.428981,988.159544,11
C17596,F,2369.073061,0.0,1.0,1235.769004,2.0,0.0,0,0.0,,3500.0,3428.646118,403.8183,10
C15077,,14.891908,59.8,0.818182,0.0,0.0,0.166667,2,,0.0,500.0,98.211239,119.964053,12
C15804,F,2584.317807,0.0,1.0,6036.492283,7.0,0.0,0?ñ,0.0,0.25,3000.0,6024.595066,826.013735,12
C18590,M,111.098444,1105.89,1.0,0.0,0.0,1.0,26,,0.0,2000.0,1004.668873,151.76408,12
C17587,,1669.488962,0.0,1.0,254.011804,4.0,0.0,0,0.0,0.166667,1800.0,571.589438,494.062935,12
C11945,M,3171.17541,109.16,1.0,4586.702891,10.0,0.083333,1,,0.333333,6000.0,598.08223,1307.447265,12
C11314,,27.263365,231.0,1.0,0.0,0.0,0.916667,11,,0.0,5000.0,174.589426,151.412643,12
C13067,,3586.66025,342.0,1000.0,5409.095889,18.0,0.333333,5,,0.416667,6000.0,5949.072074,1315.504162,12
C17817,,1688.247199,1937.64,1.0,967.811335,16.0,0.818182,22,,0.454545,2500.0,745.063871,963.517552,11
C11013,,1464.19148,367.94,1.0,0.0,0.0,0.583333,9,,0.0,1500.0,719.945677,1546.605424,12
C13083,F,1584.358415,0.0,1.0,440.692946,1.0,0.0,0,0.0,0.083333,4000.0,805.264643,452.084802,12
C10319,,1613.34907,0.0,0.909091,1606.322681,3.0,0.0,0?ñ,0.0,0.181818,4500.0,312.433361,648.139459,11
C18947,,18.293628,117.65,0.545455,0.0,0.0,0.416667,5,0.0,0.0,1500.0,186.00215,88.133951,12
C14279,,2165.436389,0.0,1.0,1016.336335,6.0,0.0,0,,0.25,2500.0,435.64194,745.905341,12
C13065,,1436.783799,258.86,1.0,143.228646,1.0,0.666667,13,,0.083333,1500.0,662.396392,404.768221,12
C13664,,264.261791,175.0,1.0,0.0,0.0,0.416667,5,0.0,0.0,1000.0,152.787605,213.203947,12
C10911,,1843.308668,89.66,1.0,126.156551,6.0,0.2,5,0.2,0.6,2000.0,375.878055,397.759846,10
C11437,F,1376.24407,0.0,1.0,501.208665,4.0,0.0,0,0.0,0.25,1500.0,685.228947,339.660618,12
C10201,,3983.923705,756.54,1.0,0.0,0.0,0.5,15,0.5,0.0,4000.0,1110.870941,??,??
C16598,,-3169.141778,435.0,1.0,3049.497763,3.0,0.083333,3,,0.166667,6500.0,795.908206,792.369143,12
C12927,M,1362.551313,0.0,1.0,73.99384,1.0,0.0,0,0.0,0.090909,1500.0,312.512407,357.297959,11
C11719,,2257.542109,0.0,1.0,1082.684755,1.0,0.0,0,,0.083333,3000.0,464.716284,659.553866,12
C19006,M,25.486713,365.0,1.0,0.0,0.0,1.0,19,0.0,0.0,1500.0,254.686988,139.614749,11
C11436,M,14.434808,237.48,1.0,0.0,0.0,1.0,12,0.0,0.0,2500.0,216.922698,169.95303,12
C16749,M,8.849404,220.99,0.454545,0.0,0.0,0.916667,11,,0.0,1000.0,286.305162,52.843213,12
C17919,M,508.164075,57.0,1.0,360.728419,8.0,0.166667,2,,0.583333,600.0,576.386562,498.342596,12
C18404,M,41.624195,102.0,454.54499999999996,0.0,0.0,0.166667,5,0.166667,0.0,1000.0,278.021419,41.427923,12
C16745,,4661.423201,0.0,1.0,5263.831799,10.0,0.0,0,,0.583333,6500.0,2943.485063,1168.800699,12
C12742,,123.05867,151.92,1.0,0.0,0.0,1.0,12,0.0,0.0,3500.0,447.181346,171.75455,12
C11450,,39.665224,265.92,1.0,0.0,0.0,0.916667,11,,0.0,2000.0,295.676965,136.234257,12
C13797,F,41.080375,280.0,0.818182,0.0,0.0,0.666667,??,,0.0,9000.0,479.765654,140.712772,12
C13247,,-2783.614341,1725.05,1.0,1004.424902,5.0,0.916667,18,0.333333,0.416667,5000.0,812.534656,934.885255,
C18805,,34.223151,108.0,1.0,0.0,0.0,1.0,12,0.0,0.0,1000.0,68.331764,167.726633,12
C17131,,209.506832,0.0,1.0,672.244034,,0.0,0,0.0,0.25,700.0,212.752075,154.743946,12?ñ
C11733,,262.723622,2365.07,0.818182,0.0,0.0,0.75,26000,,0.0,9000.0,3095.831769,177.879065,12
C18516,M,190.096469,561.99,1.0,??,0.0,1.0,14,0.0,0.0,1000.0,372.859398,195.131923,12
C11277,F,55.58459,395.05,0.818182,0.0,0.0,0.416667,6,,0.0,5500.0,531.9538,81.364934,
C16122,M,1636.518315,542.47,1.0,1869.646314,2.0,0.25,2,,0.25,3000.0,209.392729,354.281114,8
C16718,,32.89402,271.68,1.0,0.0,0.0,0.666667,12,0.0,0.0,2400.0,226.744914,167.809303,12
C11184,F,4613.570499,0.0,1.0,1728.341939,1.0,0.0,0,,0.090909,6000.0,922.218961,1460.63522,11
C15075,,2068.865586,0.0,1.0,1285.834671,2.0,0.0,0,,0.166667,2500.0,607.215424,496.404113,12
C18626,,55.59749,479.98,0.545455,942.597948,1.0,0.090909,1,0.090909,0.090909,1200.0,1836.626686,31.147044,11
C17644,,523.127544,786.94,1.0,1088.139436,4.0,0.25,3,0.083333,0.25,1000.0,1603.447936,223.726642,12
C13534,F,673.930629,689.93,1.0,916.447583,2.0,0.833333,14,,0.083333,1800.0,1603.66063,204.556137,12
C12183,F,1477.102808,0.0,1.0,960.917825?ñ,1.0,0.0,0?ñ,0.0,0.111111,1800.0,338.019603,??,9
C16196,F,26.969302,417.7,1.0,0.0,0.0,1.0,14?ñ,,0.0,2000.0,447.030311,148.459781,12
C17372,,3805.493532,465.6,1.0,2406.661489,13.0,0.583333,9,0.166667,0.25,4500.0,949.278907,1461.557697,12
C16859,F,76.096025,71.22,0.909091,0.0,0.0,0.25,3,0.0,,1500.0,216.059115,159.478913,
C10005,M,817.714335,16.0,1.0,0.0,0.0,0.083333,1,,0.0,1200.0,678.334763,244.791237,12
C17631,,6631.790101,74.17,1.0,4618.934859,10.0,0.090909,1000,0.090909,0.454545,9000.0,1652.029653,1516.892745?ñ,11
C17758,,39.469095,418.97,0.636364,0.0,0.0,1.0,30,,0.0,3000.0,655.157042,109.865935,12
C10263,,5335.302925,0.0,1.0,468.958688,2.0,0.0,0,0.0,0.166667,6000.0,1350.318606,1249.937085,12
C13423,,-1525.063274,150.0,1.0,264.96017,1.0,0.083333,3,,0.083333,1800.0,733.240634,469.758727,12
C10748,M,4881.822347,0.0,1.0,223.953042,3000.0,0.0,0,0.0,0.25,8500.0,1227.062915,1208.463027,12
C17528,F,2479.815703,5812.17,1.0,638.563709,3.0,0.916667,27,0.75,0.083333,10500.0,4586.498256,680.37248,12
C12104,,1178.90161,150.0,1.0,0.0,,0.416667,5,0.0,0.0,1200.0,360.303696,410.225607,12
C16845,F,51.581189,384.89,1.0,0.0,0.0,0.666667,10,0.083333,0.0,6000.0,213.515669,156.429964,12
C15067,M,62.104602,377.62,0.636364,0.0,0.0,0.5,6,,0.0,2500.0,548.900318,99.168927,12
C15765,,203.62963,0.0,0.454545,589.991614,2.0,0.0,0,,0.166667,3000.0,314.842514,185.625798,12
C15581,F,39.554197,353.9,0.545455,0.0,0.0,0.5,6,0.0,0.0,2500.0,374.472803,85.914125,12
C10097,,1321.47608,45.65,1.0,495.657934,,0.083333,1,,0.083333,1800.0,440.840439,312.560636,12
C17634,,38.068219,799.92,0.727273,0.0,0.0,1.0,12,,0.0,2500.0,553.927866,85.990408,12
C11873,M,2125.107734,663.04,1.0,1953.192558,2.0,0.75,24,0.75,0.083333,2500.0,560.757972,447.234777,12
C13217,F,3776.150532,0.0,1.0,3335.783756,12.0,0.0,0,,0.333333,6000.0,881.37316,890.70637,12
C16041,F,26.96054,157.45,0.636364,0.0,0.0,0.416667,5000,0.0,0.0,1000.0,238.253379,116.450584,12
C15373,M,4364.016237,2711.9,1.0,908.150316,1.0,1.0,12,,0.083333,9500.0,2428.395411,1040.884331,12
C11340,,31.473181,220.5,0.272727,0.0,0.0,0.083333,2,0.083333,0.0,3750.0,1199.475254,89.231655,12
C13294,M,1402.44598,0.0,1.0,109.398095,1.0,0.0,0,,0.083333,1500.0,438.031669,432.195428,12
C12616,,2384.257016,0.0,1.0,99.110887,,0.0,0?ñ,0.0,0.166667,2500.0,564.37975,847.079637,12
C13861,M,1383.892711,1095.13,1.0,99.30138,1.0,1.0,26,0.25,0.083333,6000.0,1130.55011,415.172992,12
C17165,,0.41367,1187.42,0.181818,0.0,0.0,0.916667,11,0.916667,0.0,6000.0,1214.034802,9.925051,12
C18598,M,1087.427214,0.0,0.636364,1916.600175,1.0,0.0,0,0.0,0.083333,3000.0,341.431225,623.084326,12
C10413,,2259.431829,780.64,1.0,1227.555485,6.0,1.0,22,0.166667,0.333333,3500.0,663.553502,483.836254,12
C17260,,1717.662673,209.62,1.0,1425.661833,6.0,0.666667,8,,0.166667,3000.0,559.604995,973.486914,12?ñ
C16364,F,3155.155315,0.0,1.0,147.664311,2.0,0.0,0,,0.166667,3500.0,975.901669,949.523933,12
C18182,,933.05808,0.0,1.0,634.617283,10.0,0.0,0,0.0,0.416667,1000.0,827.275832,299.52845,12
C18164,,17.838173,164.7,1.0,0.0,0.0,0.416667,5,,0.0,3000.0,182.462461,103.72423,12
C10803,,1822.43199,177.23,1.0,0.0,0.0,0.083333,??,,0.0,2500.0,1136.340121,428.353499,12
C15125,F,-217.993205,2435.21,1.0,0.0,0.0,1.0,30,1.0,0.0,7500.0,2024.009974,193.289032,12
C16490,,1031.670316,1753.25,1.0,0.0,0.0,0.916667,24000,0.416667,0.0,4000.0,500.01493,352.459986,12
C17440,F,2341.530186,1791.11,1.0,3091.496553,19.0,1.0,22,0.833333,0.75,5500.0,1409.686401,594.355607,12
C12871,,176.478557,600.0,0.545455,0.0,0.0,0.083333,1,0.083333,0.0,1500.0,690.478077,77.300437,12
C18020,M,2194.238291,545.83,1.0,3222.211747,7.0,0.166667,2,,0.416667,8000.0,498.274938,735.839735,12
C14861,,159.36681,1277.5,0.636364,0.0,0.0,0.583333,7,,0.0,2500.0,1315.820451,173.58488,12
C13076,,2135.406047,1600.09,1.0,78.600122,1.0,0.833333,28,,0.083333,2500.0,699.818277,976.996811,
C16727,M,2.907271,53.0,0.2,0.0,0.0,0.1,1,0.1,0.0,1000.0,239.669232,72.466408,10
C12990,,34.869037,356.32,1000.0,0.0,0.0,1.0,8,0.0,0.0,1000.0,286.841222,129.155038,8
C17033,F,6.96194,80.43,0.272727,0.0?ñ,0.0,0.272727,3,,0.0,1000.0,140.958283,153.887492,11
C12250,,4623.886448,883.94,1.0,0.0,0.0,1.0,15,1.0,0.0,6000.0,2790.54214,1419.287973,12
C13674,F,158.657744,752.0,0.909091,0.0,0.0,0.25,4,,0.0,2500.0,865.171658,161.710712,12
C19010,,284.34843,0.0,0.545455,651.58766,1.0,0.0,0,0.0,0.090909,1500.0,429.615048,178.518687,11
C15380,,638.163467,1202.72,1.0,716.190021,3.0,0.833333,23,0.416667,0.25,3000.0,2857.881585,234.745291,12
C11244,,3322.31489,676.0,1.0,0.0,0.0,0.5,9,0.25,0.0,10000.0,867.587298,753.39587,12
C11768,F,3013.590493,0.0,1.0,341.360876,7.0,0.0,0,,0.583333,3000.0,750.160714,1329.881951,12
C18155,F,413.936244,187.5,1.0,0.0,0.0,0.6,6000,,0.0,1000.0,141.526262,176.107285,10
C11664,F,4.383989,96.5,0.545455,0.0,0.0,0.5,6,,0.0,4500.0,217.143643,66.781434,12
C13705,,35.382803,359.84,0.545455,0.0,0.0,0.416667,9,,0.0,5000.0,503.91361,135.328767,12
C14134,F,817.953789,0.0,1.0,1285.120888,4.0,0.0,0,0.0,0.25,1500.0,1213.585489,285.414868,
C10398,,816.82453,42.3,0.3,3967.709973,5.0,0.1,1,0.1,0.2,6000.0,361.853722,645.320421,10
C19040,,10.920026,95.6,1.0,0.0,0.0,1.0,10,0.0,0.0,1000.0,78.092423,93.210172,10?ñ
C12877,M,5311.500998,2339.79,1.0,5930.115233,8.0,1.0,12,,0.25,6500.0,6865.05666,1486.657279,12
C17316,M,241.384531,335.0,0.909091,0.0,0.0,0.416667,10,0.166667,0.0,1000.0,661.587172,144.480066,12
C15868,F,16.34663,267.06,0.545455,0.0,0.0,0.5,7,,0.0,1000.0,318.011069,113.606953,12
C18330,,259.217679,2844.3,0.818182,0.0,0.0,0.666667,12,,0.0,2500.0,2733.780207,165.185385,12
C18811,F,1168.345069,0.0,1.0,96.091248,1.0,0.0,0,0.0,0.083333,1200.0,255.224549,252.04309,12
C11607,M,1247.384513,405.5,1.0,0.0,0.0,0.5,12,,0.0,6500.0,1131.607754,291.293418,12
C18949,M,133.999971,1485.0,1.0,0.0,0.0,1.0,12,,0.0,1000.0,1353.276771,170.609124,12
C13657,F,98.6782,540.0,0.818182,0.0,0.0,0.75,9,0.75,0.0,1700.0,364.533707,169.369886,12
C15735,M,1167.254965,499.92,1.0,0.0,0.0,1.0,12000,,0.0,1200.0,897.514706,1358.434639,12?ñ
C16977,F,424.994385,1200.0,0.375,0.0,0.0,0.125,1,,0.0,1200.0,57.266292,56.72021,8
C18445,,176.991674,763.71,0.272727,0.0,0.0,0.083333,1,,0.0,1200.0,314.5974,166.360313,12
C10046,M,5315.945594,1525.44,1.0,0.0,0.0,1.0,20,0.333333,0.0,8500.0,1430.341501,1318.71492,12
C18709,M,1873.61991,396.26,1.0,2025.438092,10.0,0.571429,14,,0.571429,2500.0,353.512837,384.161979,7
C14794,M,8.172299,114.0,0.636364,0.0,0.0,500.0,6,0.0,0.0,2700.0,123.400772,44.25482,-12
C15757,,1478.069308,0.0,1.0,37.483718,1.0,0.0,0,0.0,0.083333,1500.0,287.13201,531.655053,12
C15777,M,1308.128024,623.03,1.0,0.0,0.0,0.916667,15,0.0,0.0,1500.0,306.967651,356.087522,12?ñ
C15751,,144.006679,45.65,1.0,0.0,0.0,0.083333,1,0.083333,0.0,1000.0,287.560084,177.475343,12
C17425,,1625.249578,1814.65,1000.0,1825.212313,6.0,1.0,24,,0.416667,3000.0,1281.171589,392.219254,12
C10869,,161.198861,536.68,1.0,0.0,0.0,1.0,13,0.083333,0.0,1000.0,280.826685,165.304588,12
C13098,,381.959463,1013.6,0.545455,476.74727,1.0,0.166667,12,,0.083333,3500.0,2246.428764,103.601608,12
C16996,,77.653879,473.62,1.0,1260.284262,1.0,0.5,6?ñ,0.25,0.083333,1800.0,1572.10707,121.46035,12
C15278,M,73.704935,554.67,1.0,0.0,,1.0,17,,0.0,4000.0,578.565706,175.221326,12
C16821,F,3043.796467,1410.95,1.0,1345.522967,4.0,0.666667,13,,0.25,11500.0,834.226677,659.920499,12
C14943,,120.945829,33.38,0.7,0.0,0.0,0.2,2,,0.0,1000.0,514.002301,148.330512,10
C16336,F,2446.41139,1915.65,1.0,4201.060262,8.0,0.75,29,0.25,,8500.0,4723.691364,629.361278,12
C12793,F,440.186713,985.2,1.0,1055.502083,12.0,0.916667,19,0.25,0.333333,6000.0,1670.869438,191.619507,12
C13462,M,4891.896666,915.81,1.0,1678.175594,5.0,0.583333,7,0.0,0.25,7500.0,1164.557472,1270.282758,12
C16723,M,148.376249,600.0,0.363636,0.0,0.0,0.083333,1,,0.0,2500.0,731.400261,178.462119,12
C13383,,2806.343181,0.0,1.0,274.463254,3.0,0.0,0,,0.083333,3000.0,797.82877,937.454272,12
C18891,,154.416929,483.27,1.0,108.462594,2.0,0.416667,7,,0.166667,500.0,266.232394,181.91342,12
C11967,,1917.977989,0.0,1.0,6022.786892,1.0,0.0,0,0.0,0.083333,6500.0,7189.695757,626.075406,12
C11589,,2769.640442,738.06,1.0,1273.269924,5.0,0.5,8,,,4500.0,740.45306,701.288299,12
C13236,,1801.045046,1684.29,1.0,0.0,0.0,1.0,18,0.916667,0.0,8000.0,4376.057598,??,12
C15597,F,557.277303,3739.78,1.0,0.0,0.0,0.833333,28,0.833333,0.0,1500.0,3530.131795,190.985351,12
C14590,,568.060722,1799.03,1.0,0.0,0.0,0.833333,14,0.833333,0.0,10000.0,1770.472642,215.536534,12
C11553,,632.679411,1363.79,1.0,0.0,0.0,0.75,16,0.083333,0.0,6000.0,2432.980638,219.177144,12
C14897,M,1723.804529,3145.79,1.0,0.0,0.0,1.0,26,,0.0,6000.0,995.065501,387.473541,12
C18210,,110.983174,458.47,1.0,0.0,0.0,0.25,3,0.25,0.0,2000.0,414.618729,176.175087,12
C15890,F,170.086639,1218.11,0.909091,0.0,0.0,0.75,9,0.5,0.0,6000.0,1277.281619,152.507474,12
C19083,F,35.800325,0.0,0.5,109.899622,2.0,0.0,0,0.0,0.25,500.0,152.960155,112.13967,8
C18892,,25.615441,146.5,0.545455,0.0,0.0,0.416667,5,,0.0,500.0,287.288012,142.251239,12
C18276,F,8.80954,114.0,0.818182,0.0,0.0,0.666667,8,0.0,0.0,4000.0,160.627029,86.700821,12
C17225,,1118.057185,0.0,1.0,73.140635,1.0,0.0,0,,0.083333,1200.0,335.79384,439.082668,12
C11302,F,25.698927,244.0,0.909091,197.3778,1.0,1.0,16,0.0,0.083333,7000.0,383.150843,92.417583?ñ,12
C14753,,452.951976,3649.83,0.454545,0.0,0.0,0.25,10,,0.0,7500.0,209.217046,164.503829,12
C15760,,2.71921,0.0,0.181818,365.729727,1.0,0.0,0,0.0,0.083333,6000.0,3961.072777,29.048708,12
C16275,F,415.27608,191.34,0.454545,0.0,0.0,0.416667,8,0.083333,0.0,1500.0,3467.412046,1094.75712,12
C10751,,251.151609,0.0,0.363636,1084.813197,4.0,0.0,0,,0.166667,1200.0,3597.140559,308.399887,12
C12298,M,40.343354,318.79,0.5,0.0,0.0,0.2,2,0.2,0.0,6000.0,603.896667,56.679587,10
C18064,,1131.503917,120.0,1.0,0.0,0.0,0.083333,1,,0.0,1200.0,352.210107,470.738221,12
C14859,,1608.052487,0.0,0.545455,2496.721337,3.0,0.0,0,,0.25,5000.0,9933.62261,684.647727?ñ,12
C16839,,10.288205,324.0,363.636,0.0,0.0,0.75,9,,0.0,1500.0,555.119249,57.741139,12
C10771,M,1575.508838,0.0,0.875,1977.834772,1.0,0.0,0,,0.125,2500.0,260.843536,325.312921,8
C10015,,2772.772734,0.0,1.0,346.81139,1.0,0.0,0,0.0,0.083333,3000.0,805.647974,989.962866,12
C14175,F,1539.375352,100.0,1.0,0.0,0.0,0.083333,1,,0.0,3000.0,420.283303,450.302969,
C17720,M,849.030358,345.0,1000.0,101.511988,1.0,0.75,24,0.0,0.083333,1200.0,1465.044906,268.949636,12
C17655,,6.526735,53.09,0.181818,0.0,0.0,0.083333,1,,0.0,1000.0,309.515966,86.885269,12
C15859,F,832.183808,0.0,1.0,1991.951203,9.0,0.0,0,,0.333333,2500.0,1497.093428,255.621363,12
C11711,,1039.88038,93.24,0.818182,5465.141893,5.0,1.0,12,0.0,0.416667,5000.0,5293.609266,290.479763,12
C12117,,-3474.972612,324.18,1.0,0.0,0.0,0.333333,6,,0.0,9500.0,950.735955,867.128283,12
C13601,M,1755.193192,0.0,1.0,1657.887522,5.0,0.0,??,,0.166667,1800.0,310.988036,627.613135,12
C19108,M,440.613643,600.0,1.0,0.0,0.0,0.125,1,,0.0,1000.0,215.316424,137.846006,8
C11892,,4402.354047,0.0,1.0,2117.809244,10.0,0.0,0,0.0,0.25,5000.0,1030.120113,1162.586801,12
C17111,,0.737154,427.5,0.181818,0.0,0.0,1.0,23,0.0,0.0,1500.0,443.007864,15.052203,12
C18014,,827.66215,965.0,1.0,0.0,0.0,0.333333,4,,0.0,2000.0,748.605862,330.125475,12
C13708,,1344.353594,0.0,1.0,661.025022,3.0,0.0,0,0.0,0.181818,1500.0,266.795469,456.289689,11
C17139,M,803.68596,1690.93,1.0,0.0,0.0,0.6,25,0.6,0.0,1200.0,1783.396008,509.554302,10
C13970,F,58.167348,438.87,0.181818,0.0,0.0,0.083333,1,0.083333,0.0,7500.0,1748.469291,270.533346,12
